dep_hour,o_min_vis,o_vol,o_fog,o_change,arr_hour,d_min_vis,d_vol,d_fog,d_change,delay
11,4.57,0.39,0.73,0.17,15,6.1,0.31,0.06,0.8,0
22,2.21,0.74,0.47,0.02,23,7.54,0.31,0.52,0.71,0
12,7.49,0.32,0.68,0.23,14,3.45,0.41,0.12,0.51,0
7,6.88,0.43,0.82,0.7,8,5.85,0.51,0.98,0.97,1
6,7.12,0.09,0.93,0.5,7,0.83,0.48,0.6,0.81,1
12,2.32,0.65,0.94,0.3,16,1.79,0.07,0.25,0.41,0
8,0.15,0.2,0.68,0.61,11,7.19,0.67,0.6,0.99,1
11,3.48,0.69,0.67,0.11,13,2.05,0.71,0.74,0.13,0
10,4.54,0.1,0.63,0.05,14,8.07,0.78,0.25,0.37,0
14,1.3,0.86,0.4,0.15,15,8.5,0.62,0.8,0.6,0
23,5.1,0.9,0.91,0.91,1,0.78,0.12,0.59,0.44,0
7,7.27,0.41,0.35,0.41,11,3.5,0.51,1.0,0.96,0
12,8.4,0.66,0.66,0.71,13,5.66,0.81,0.89,0.96,0
8,1.94,0.85,0.81,0.74,11,3.23,0.48,0.81,0.41,0
7,3.47,0.34,0.78,0.96,11,9.16,0.71,0.58,0.09,0
12,5.18,0.14,0.21,0.7,16,9.73,0.78,0.36,0.94,0
0,5.81,0.28,0.15,0.46,1,4.18,0.11,0.78,0.67,0
15,9.95,0.44,0.0,0.14,16,9.03,0.9,0.93,0.71,0
2,0.16,0.91,0.62,0.4,4,4.79,0.98,0.44,0.94,0
9,5.06,0.99,0.38,0.42,12,0.06,0.64,0.58,0.7,0
10,8.07,0.84,0.85,0.59,14,4.92,0.03,0.26,0.82,0
12,7.27,0.01,0.95,0.99,15,2.74,0.43,0.55,0.53,0
21,7.56,0.52,0.5,0.53,22,0.63,0.16,0.21,0.09,0
13,1.32,0.27,0.5,0.51,17,0.53,0.03,0.33,0.05,1
9,1.27,0.32,0.79,0.77,13,0.18,0.03,0.92,0.67,1
14,5.21,0.94,0.26,0.44,16,7.59,0.23,0.31,0.5,0
18,8.21,0.64,0.03,0.6,20,1.09,0.11,0.53,0.95,0
7,1.14,0.96,0.35,0.13,9,6.62,0.64,0.65,0.71,1
2,2.0,0.35,0.3,0.75,3,5.8,0.17,0.58,0.06,1
19,7.3,0.23,0.77,0.25,20,5.45,0.45,0.42,0.47,0
20,8.32,0.84,0.52,0.94,0,8.97,0.84,0.89,0.78,0
6,5.52,0.53,0.29,0.67,10,6.54,0.02,0.1,0.2,0
18,6.35,0.87,0.82,0.71,20,1.84,0.75,0.24,0.17,0
9,5.53,0.12,0.22,0.87,10,0.82,0.47,0.41,0.34,0
14,0.76,0.14,0.7,0.87,18,6.67,0.55,0.13,0.03,1
16,3.23,0.44,0.03,0.5,20,7.54,0.19,0.68,0.01,0
15,1.15,0.87,0.17,0.76,19,4.75,0.93,0.38,0.34,0
12,5.78,0.41,0.95,0.7,15,0.99,0.75,0.32,0.45,0
23,9.73,0.3,0.81,0.82,2,5.34,0.98,0.32,0.72,0
18,7.09,0.82,0.37,0.1,19,9.26,0.82,0.31,0.43,0
17,0.79,0.46,0.29,0.42,20,9.93,0.65,0.06,0.41,0
0,5.06,0.21,0.07,0.58,2,2.63,0.32,0.06,0.76,0
1,9.22,0.3,0.75,0.34,3,2.07,0.24,0.21,0.54,0
11,2.83,0.32,0.05,0.08,13,8.64,0.87,0.72,0.85,1
12,5.38,0.01,0.64,0.8,14,9.62,1.0,0.74,0.91,1
21,7.74,0.72,0.69,0.91,1,3.81,0.94,0.96,0.25,1
6,0.29,0.68,0.34,0.99,10,4.72,0.76,0.75,0.7,0
6,7.98,0.16,0.72,0.95,7,0.95,0.79,0.96,0.93,1
22,8.68,0.76,0.86,0.19,23,2.44,0.58,0.87,0.09,1
11,0.69,0.54,0.16,0.54,14,5.32,0.92,0.24,0.26,0
11,2.29,0.2,0.91,0.51,15,4.34,0.19,0.67,0.87,1
18,3.63,0.1,0.83,0.5,22,7.15,0.65,0.09,0.15,0
16,1.77,0.54,0.91,0.31,20,2.96,0.63,0.3,0.39,0
17,2.15,0.58,0.85,0.54,19,1.81,0.6,0.65,0.29,0
6,2.13,0.4,0.24,0.85,10,2.97,0.04,0.47,0.74,0
0,9.45,0.7,0.41,0.61,2,5.18,0.81,0.78,0.67,0
2,8.08,0.24,0.85,0.71,6,8.59,0.68,0.23,0.1,0
12,2.39,0.38,0.18,0.75,16,1.48,0.27,0.84,0.31,0
20,4.56,0.91,0.85,0.38,23,1.67,0.57,0.08,0.84,0
16,0.84,0.38,0.98,0.41,20,0.49,0.66,0.06,0.87,1
18,6.39,0.44,0.61,0.34,19,5.14,0.63,0.11,0.82,0
9,0.77,0.02,0.39,0.49,12,5.47,0.32,0.47,0.93,0
2,3.52,0.87,0.91,0.27,6,8.97,0.77,0.57,0.35,0
0,0.81,0.07,0.93,0.69,4,7.57,0.62,0.37,0.17,0
11,8.41,0.43,0.09,0.54,12,2.38,0.22,0.2,0.12,0
18,3.6,0.74,0.07,0.56,21,8.01,0.55,0.17,0.75,0
5,3.6,0.65,0.05,0.59,6,9.99,0.35,0.11,0.44,0
5,6.09,0.17,0.96,0.85,9,7.6,0.48,0.23,0.71,0
2,8.88,0.3,0.05,0.82,4,6.9,0.17,0.05,0.76,0
4,5.63,0.51,0.28,0.05,6,9.13,0.95,0.97,0.84,1
8,5.98,0.59,0.15,0.73,10,7.59,0.74,0.02,0.22,1
8,2.91,0.41,0.25,0.13,9,6.51,0.52,0.81,0.33,0
21,6.62,0.33,0.03,0.31,1,5.59,0.91,0.47,0.17,1
8,2.61,0.57,0.23,0.11,11,0.76,0.12,0.94,0.85,0
8,3.98,0.68,0.5,0.28,11,9.48,0.4,0.67,0.49,1
8,4.08,0.95,0.44,0.22,12,3.82,0.06,0.29,0.88,0
0,5.46,0.19,0.52,0.21,1,6.41,0.36,0.86,0.79,0
9,3.1,0.58,0.77,0.12,10,0.23,0.4,0.77,0.33,0
22,4.22,0.29,0.56,0.05,2,6.68,0.1,0.2,0.47,1
8,2.52,0.24,0.39,0.27,9,6.12,0.88,0.52,0.76,1
19,2.44,0.37,0.74,0.88,22,4.0,0.52,0.54,0.35,0
14,2.94,0.87,0.09,0.25,16,8.11,0.49,0.72,0.46,0
6,8.57,0.04,0.76,0.95,10,0.45,0.98,0.46,0.07,0
12,5.77,0.95,0.23,0.38,15,7.81,0.03,0.2,0.69,0
12,9.23,0.52,0.75,0.29,13,1.14,0.67,0.97,0.31,1
6,4.76,0.71,0.16,0.1,7,6.86,0.66,0.51,0.66,0
13,3.9,0.51,0.18,0.41,14,3.12,0.07,0.03,0.54,0
22,4.52,0.91,0.94,0.39,2,8.1,0.69,0.55,0.07,0
18,1.7,0.49,0.56,0.64,19,5.36,0.37,0.65,0.26,1
19,0.31,0.53,0.1,0.7,23,6.79,0.56,0.33,0.37,0
22,2.18,0.9,0.2,0.53,1,3.72,0.4,0.49,0.49,0
8,5.5,0.92,0.1,0.75,11,0.07,0.06,0.73,0.04,1
4,7.75,0.99,0.05,0.42,6,9.69,0.04,0.77,0.61,0
23,1.81,0.56,0.66,0.33,1,7.93,0.15,0.92,0.74,1
15,8.97,0.37,0.8,0.64,17,5.99,0.69,0.81,0.41,0
8,7.34,0.37,0.9,0.46,12,5.62,0.98,0.67,0.73,0
2,8.4,0.32,0.97,0.74,3,1.47,0.65,0.59,0.8,0
3,1.99,0.4,0.77,0.11,6,2.93,0.22,0.02,0.06,0
1,2.97,0.2,0.1,0.68,2,8.47,0.46,0.15,0.78,1
4,5.78,0.71,0.69,0.1,8,4.33,0.74,0.33,0.41,0
22,1.61,0.72,0.92,0.69,2,2.15,0.55,0.1,0.91,0
5,0.39,0.74,0.31,0.95,9,3.99,0.98,0.23,0.07,0
8,1.3,0.42,0.83,0.38,12,4.7,0.89,0.16,0.65,1
0,6.95,0.11,0.71,0.7,4,0.38,0.81,0.39,0.06,0
15,0.98,0.14,0.79,0.67,17,8.16,0.71,0.38,0.44,0
0,2.38,0.63,0.28,0.63,3,6.54,0.69,0.41,0.57,1
5,9.14,0.47,0.67,0.37,9,8.9,0.24,0.97,0.03,1
3,3.81,0.81,0.86,0.76,5,9.13,0.56,0.3,0.33,0
10,0.35,0.01,0.74,0.67,11,9.82,0.01,0.96,0.16,0
12,8.9,0.27,0.09,0.77,16,3.47,0.67,0.58,0.85,0
20,9.33,0.32,0.4,0.15,22,4.02,0.31,0.02,0.38,1
2,0.92,0.8,0.95,0.87,5,4.5,0.95,0.08,0.59,0
18,2.22,0.84,0.17,0.8,21,2.71,0.87,0.81,0.33,1
19,4.26,0.16,0.2,0.27,23,7.64,0.4,0.68,0.08,0
13,2.52,0.81,0.13,0.68,16,2.65,0.88,0.45,0.74,0
0,2.73,0.69,0.17,0.72,1,0.77,0.56,0.27,0.77,0
21,2.5,0.77,0.95,0.55,0,7.65,0.86,0.73,0.73,1
12,4.9,0.93,0.25,0.73,13,5.24,0.02,0.51,0.81,0
20,5.49,0.27,0.19,0.28,21,8.4,0.34,0.03,0.84,0
1,3.8,0.95,0.22,0.96,4,5.21,0.82,0.43,0.8,0
3,10.0,0.1,0.7,0.57,5,4.21,0.89,0.96,0.08,0
13,8.3,0.78,0.14,0.11,17,7.07,0.72,0.35,0.52,0
1,8.19,0.27,0.51,0.56,5,8.4,0.58,0.69,0.32,0
0,0.05,0.22,0.72,0.26,2,4.36,0.42,0.69,0.5,0
13,3.58,0.85,0.92,0.63,17,2.15,0.29,0.57,0.35,1
16,2.94,0.1,0.27,0.04,20,3.89,0.88,0.71,0.56,1
4,8.48,0.02,1.0,0.99,6,8.94,0.98,0.55,0.49,1
13,8.93,0.67,0.57,0.81,14,9.33,0.36,0.25,0.54,0
22,8.56,0.2,0.25,0.88,1,0.41,0.22,0.27,0.82,0
20,5.17,0.35,0.55,0.51,0,5.92,0.02,0.61,0.37,0
21,8.11,0.95,0.44,0.16,1,2.44,0.54,0.08,0.17,0
3,6.15,0.61,0.75,0.34,5,3.43,0.99,0.84,0.82,1
4,0.92,0.45,0.08,0.97,5,4.23,0.56,0.36,0.91,0
18,2.71,0.22,0.36,0.21,21,1.0,0.88,0.64,0.7,0
6,9.5,0.74,0.12,0.53,8,8.39,0.75,0.97,0.86,1
13,9.6,0.26,0.48,0.63,17,7.52,0.71,0.1,0.66,1
7,2.51,0.47,0.56,0.39,10,7.93,0.64,0.45,0.71,0
20,1.92,0.93,0.93,0.14,22,3.28,0.59,0.94,0.13,0
15,4.54,0.18,0.46,0.36,19,6.76,0.05,1.0,0.66,0
5,1.04,0.93,0.53,0.43,6,0.4,0.71,0.19,0.23,0
17,5.44,0.51,0.3,0.81,21,0.21,0.75,0.67,0.46,0
18,3.72,0.5,0.59,0.45,20,4.77,0.88,0.58,0.95,0
5,2.45,0.65,0.05,0.99,8,9.34,0.31,0.08,0.42,0
18,4.14,0.99,0.64,0.53,21,7.94,0.52,0.76,0.52,0
23,8.74,0.87,0.33,0.72,0,7.81,0.33,0.79,0.14,0
17,7.5,0.17,0.95,0.33,20,6.32,0.09,0.28,0.21,0
12,5.08,0.78,0.38,0.83,14,2.96,0.96,0.94,0.88,0
22,5.56,0.63,0.81,0.79,2,0.25,0.55,0.64,0.02,1
5,6.69,0.6,0.4,0.32,9,3.25,0.32,0.34,0.25,0
1,4.48,0.63,0.78,0.99,5,0.19,0.51,0.0,0.27,1
15,2.77,0.66,0.48,0.67,17,6.43,0.88,0.72,0.59,0
21,6.21,0.82,0.2,0.04,23,9.94,0.11,0.12,0.46,0
20,8.65,0.26,0.76,0.24,22,2.36,0.43,0.37,0.45,0
8,3.91,0.83,0.33,0.85,10,3.26,0.21,0.07,0.3,0
2,0.06,0.91,0.08,0.9,5,6.3,0.87,0.03,0.79,0
18,4.84,0.26,0.39,0.89,19,9.79,0.6,0.5,0.67,0
23,4.62,0.75,0.17,0.77,0,3.71,0.42,0.66,0.24,0
4,7.58,0.39,0.99,0.92,7,3.75,0.14,0.36,0.53,0
15,3.24,0.01,0.97,0.76,17,7.47,0.66,0.18,0.69,0
14,2.72,0.73,0.75,0.97,18,0.77,0.68,0.09,0.61,0
21,6.72,0.24,0.77,0.39,1,8.61,0.92,0.33,0.7,1
1,0.68,0.61,0.34,0.89,4,4.04,1.0,0.06,0.39,0
3,3.62,0.08,0.26,0.45,4,4.65,0.74,0.96,0.71,0
16,0.95,0.74,0.36,0.86,17,7.55,0.87,0.69,0.48,0
7,3.68,0.16,0.92,0.89,11,7.67,0.6,0.58,0.54,0
1,3.64,0.52,0.58,0.77,4,4.77,0.99,0.69,0.92,0
3,2.96,0.55,0.97,0.94,6,0.14,0.66,0.57,0.22,1
4,5.12,0.2,0.82,0.42,8,1.61,0.25,0.76,0.84,0
15,6.95,0.74,0.99,0.53,16,1.77,0.63,0.37,0.72,1
2,4.39,0.99,0.36,0.56,6,1.61,0.22,0.37,0.88,0
15,8.7,0.9,0.19,0.78,16,1.56,0.15,0.78,0.71,0
7,9.51,0.54,0.44,0.61,10,1.08,0.73,0.19,0.8,0
15,4.13,0.66,0.85,0.5,17,4.15,0.68,0.32,0.45,0
3,9.24,0.12,0.55,0.35,4,6.86,0.53,0.05,0.54,0
11,7.48,0.34,0.11,0.01,12,5.32,0.11,0.56,0.64,0
15,8.05,0.26,0.5,0.08,19,2.16,0.53,0.77,0.55,0
12,3.92,0.33,0.94,0.23,15,8.18,0.44,0.74,0.41,0
18,1.6,0.87,0.69,0.92,20,1.74,0.11,0.92,0.34,1
6,2.49,0.99,0.05,0.96,10,1.2,0.29,0.32,0.63,0
13,6.26,0.86,0.64,0.43,14,5.97,0.27,0.95,0.49,0
12,5.74,0.75,0.94,0.58,13,6.08,0.09,0.75,0.48,0
11,6.16,0.65,0.53,0.52,13,8.07,0.51,0.6,0.68,0
14,2.49,0.8,0.61,0.25,15,2.66,0.96,0.72,0.93,1
18,1.85,0.48,0.48,0.48,21,2.41,0.64,0.08,0.22,0
11,9.03,0.07,0.86,0.62,15,9.28,0.76,0.83,0.47,0
21,1.31,0.19,0.59,0.64,23,0.33,0.06,0.59,0.32,1
7,3.25,0.36,0.03,0.73,11,0.72,0.22,0.3,0.18,0
23,1.08,0.13,0.61,0.25,3,8.84,0.06,0.98,0.41,1
6,6.14,0.47,0.93,0.82,9,6.72,0.02,0.4,0.81,1
3,9.17,0.53,0.56,0.76,7,3.29,0.47,0.65,0.55,0
6,8.53,0.42,0.05,0.93,10,4.58,0.58,0.81,0.72,0
13,5.71,0.66,1.0,0.5,14,3.29,0.33,0.01,0.88,1
8,6.63,0.44,0.14,0.4,11,9.45,0.89,0.73,0.97,1
0,6.14,0.71,0.69,0.15,4,3.59,0.45,0.16,0.29,0
9,7.39,0.43,0.12,0.46,10,3.23,0.58,0.84,0.96,1
8,5.56,0.72,0.59,0.85,11,5.55,0.67,0.98,0.67,0
22,7.66,0.69,0.81,0.36,1,7.43,0.34,0.63,0.14,0
11,7.71,0.74,0.97,0.35,12,7.99,0.85,0.41,0.42,0
17,3.21,0.55,0.55,0.78,18,8.29,0.18,0.87,0.52,0
17,1.16,0.98,0.73,0.17,19,0.89,0.47,0.48,0.0,0
18,8.3,0.53,0.53,0.03,19,5.61,0.68,0.5,0.98,1
16,4.26,0.16,0.54,0.43,17,6.68,0.05,0.4,0.48,0
11,7.86,0.74,0.75,0.33,15,1.05,0.0,0.94,0.76,0
21,3.57,0.01,0.04,0.33,23,8.26,0.75,0.65,0.74,1
17,8.07,0.53,0.15,0.34,20,5.06,0.76,0.78,0.63,0
9,0.21,0.29,0.37,0.79,10,7.36,0.94,0.3,0.24,0
21,4.31,0.68,0.11,0.34,22,3.7,0.38,0.44,0.23,0
14,0.5,0.04,0.83,0.34,17,3.04,0.95,0.55,0.14,0
18,9.27,0.38,0.61,0.31,19,2.46,0.44,0.35,0.7,0
1,7.9,0.39,0.56,0.4,3,4.9,0.87,0.3,0.33,0
15,5.26,0.22,0.35,0.78,16,7.74,0.87,0.67,0.26,1
19,4.04,0.25,0.61,0.77,23,7.31,0.26,0.21,0.91,0
22,4.98,0.17,0.32,0.3,2,6.89,0.38,0.74,0.05,0
6,5.0,0.01,0.59,0.97,7,8.88,0.97,0.96,0.91,1
7,3.83,0.11,0.18,0.1,10,0.59,0.38,0.33,0.93,0
14,1.16,0.87,0.22,0.11,16,4.44,0.59,0.45,0.17,0
18,9.28,0.79,0.64,0.94,21,4.91,0.36,0.56,0.63,0
14,4.69,0.23,0.22,0.76,15,7.75,0.09,0.42,0.89,0
2,8.35,0.77,0.45,0.9,5,3.36,0.85,0.26,0.1,0
11,6.02,0.79,0.74,0.29,13,9.86,0.26,0.66,0.84,0
7,5.6,0.25,0.51,0.83,11,1.39,0.6,0.81,0.81,0
10,3.16,0.17,0.48,0.42,12,7.07,0.49,0.66,0.12,0
8,7.98,0.44,0.12,0.35,9,2.86,0.33,0.34,0.09,1
13,8.32,0.21,0.26,0.12,15,6.89,0.34,0.84,0.58,1
20,7.74,0.87,0.34,0.37,23,9.03,0.5,0.06,0.9,1
5,4.41,0.47,0.15,0.19,6,3.1,0.69,0.18,0.62,1
23,1.56,0.47,0.45,0.24,1,8.79,0.13,0.45,0.72,0
19,9.12,0.79,0.86,0.58,22,8.45,0.76,0.54,0.45,0
18,9.76,0.29,0.61,0.19,20,0.78,0.42,0.35,0.88,0
23,4.12,0.26,0.81,0.96,3,0.1,0.69,0.23,0.65,1
6,0.37,0.08,0.12,0.71,8,7.78,0.87,0.48,0.6,0
6,1.93,0.1,0.32,0.97,8,9.42,0.73,0.51,0.11,1
0,2.53,0.14,0.06,0.12,2,5.99,0.5,0.84,0.74,0
6,1.15,0.28,0.89,0.89,7,5.66,0.54,0.09,0.48,0
10,0.26,0.38,0.43,0.5,11,8.47,0.24,0.38,0.06,0
13,8.11,0.31,0.95,0.55,15,6.07,0.14,0.92,0.34,0
22,8.69,0.89,0.96,0.1,0,7.93,0.24,0.04,0.42,1
1,3.26,0.48,0.61,0.58,2,9.24,0.02,0.14,0.62,0
19,6.44,0.18,0.96,0.53,23,4.21,0.37,0.98,0.21,0
17,1.18,0.04,0.95,0.47,19,2.0,0.53,0.97,0.08,0
0,6.21,0.6,0.95,0.03,2,0.57,0.85,0.74,0.39,1
0,9.85,0.94,0.49,0.51,2,3.3,0.65,0.62,0.72,1
2,1.72,0.23,0.12,0.33,4,1.78,0.6,0.83,0.17,0
5,2.6,0.11,0.59,0.85,8,2.53,0.68,0.85,0.3,1
7,5.08,0.4,0.31,0.6,8,4.57,0.05,0.48,0.63,0
8,2.21,0.41,0.6,0.52,12,4.81,0.35,0.98,0.65,0
10,5.42,0.36,0.01,0.74,12,7.49,0.97,0.62,0.05,0
4,6.32,0.08,0.23,0.36,5,5.9,0.5,0.28,0.21,0
21,5.83,0.26,0.12,0.08,1,4.09,0.09,0.62,0.2,0
5,8.5,0.43,0.99,0.81,6,3.86,0.69,0.21,0.99,1
12,8.39,0.23,0.12,0.09,16,0.57,0.55,0.16,0.11,1
14,6.04,0.58,0.32,0.92,15,2.54,0.33,0.11,0.67,0
2,0.11,0.83,0.81,0.41,3,4.44,0.81,0.64,0.16,0
19,0.92,0.8,0.24,0.18,22,1.14,0.65,0.03,0.7,0
12,9.94,0.05,0.41,0.74,16,0.27,0.29,0.17,0.19,0
9,6.66,0.58,0.37,0.09,10,3.4,0.15,0.71,0.86,1
15,1.67,0.99,0.32,0.46,18,9.13,0.62,0.91,0.92,1
12,1.03,0.97,0.32,0.96,14,0.98,0.26,0.72,0.12,1
9,8.87,0.97,0.44,0.07,12,6.74,0.2,0.07,0.74,0
8,5.75,0.92,0.68,0.4,9,3.25,0.9,0.32,0.05,0
0,2.58,0.89,0.65,0.8,2,9.33,0.4,0.91,0.46,0
1,1.08,0.13,0.21,0.22,2,0.95,0.95,0.63,0.65,1
7,4.73,0.38,0.96,0.42,10,0.17,0.06,0.06,0.77,1
10,8.57,0.78,0.72,0.71,13,8.74,0.55,0.96,0.85,0
8,2.75,0.69,0.3,0.66,10,9.87,0.07,0.12,0.88,0
21,9.43,0.14,0.91,0.53,1,1.31,0.95,0.06,0.43,0
23,7.98,0.42,0.51,0.4,0,2.28,0.81,0.94,0.81,1
19,2.42,0.92,0.42,0.32,21,0.69,0.75,0.29,0.26,0
3,7.53,0.27,0.79,0.01,7,0.39,0.32,0.82,0.1,1
20,9.32,0.64,0.29,0.43,21,8.85,0.24,0.11,0.68,0
21,6.41,0.54,0.58,0.68,22,3.25,0.75,0.05,0.56,1
0,1.11,0.67,0.63,0.97,3,6.41,0.49,0.84,0.24,1
20,2.52,0.76,0.48,0.09,0,4.29,0.77,0.16,0.95,0
22,7.98,0.32,0.25,0.0,2,5.66,0.47,0.08,0.75,0
17,2.72,0.02,0.62,0.17,21,0.26,0.72,0.66,0.35,0
18,5.05,0.53,0.45,0.15,20,4.01,0.05,0.95,0.74,1
5,0.82,0.94,0.09,0.6,8,8.63,0.04,0.69,0.72,1
12,7.41,0.51,0.89,0.61,14,5.13,0.53,0.74,0.66,0
2,1.54,0.67,0.12,0.94,3,3.36,0.14,0.55,0.78,0
2,3.33,0.49,0.14,0.0,4,6.92,0.83,0.52,0.34,0
13,6.91,0.7,0.96,0.26,15,1.94,0.79,0.5,0.71,0
20,2.36,0.49,0.25,0.91,0,1.06,0.9,0.72,0.01,0
19,8.97,0.26,0.37,0.51,21,0.7,0.71,0.29,0.34,1
18,6.65,0.85,0.33,0.95,20,9.04,0.81,0.0,0.77,0
23,4.97,0.8,0.71,0.22,3,2.99,0.78,0.49,0.46,0
16,4.25,0.68,0.9,0.13,17,1.53,0.24,0.1,0.66,0
6,1.11,0.48,0.19,0.95,7,6.78,0.18,0.26,0.97,0
9,1.75,0.14,0.73,0.18,10,8.57,0.91,0.56,0.79,0
22,0.64,0.77,0.76,0.58,2,2.11,0.83,0.1,0.48,0
17,9.59,0.21,0.62,0.12,21,9.5,0.11,0.82,0.74,1
1,6.19,0.81,0.21,0.07,2,1.11,0.23,0.93,0.84,0
17,5.43,0.2,0.64,0.98,19,4.4,0.74,0.23,0.12,0
1,5.77,0.4,0.31,0.37,4,3.12,0.44,0.49,0.98,0
11,6.52,0.51,0.13,0.2,14,2.67,0.72,0.67,0.78,1
5,5.2,0.32,0.81,0.14,7,9.11,0.28,0.48,0.98,0
16,7.38,0.22,0.07,0.37,20,7.71,0.1,0.88,0.81,0
14,3.84,0.42,0.89,0.06,15,8.91,0.7,0.21,0.91,1
2,6.98,1.0,0.99,0.59,6,3.4,0.22,0.59,0.49,0
8,2.34,0.49,0.08,0.47,9,7.75,0.21,0.57,0.65,1
17,8.8,0.9,0.29,0.92,19,5.2,0.05,0.14,0.1,0
22,1.31,0.43,0.27,0.48,1,1.52,0.88,0.92,0.06,0
4,3.39,0.89,0.38,0.92,5,4.44,0.64,0.13,0.81,0
23,6.23,0.48,0.81,0.97,0,0.28,0.23,0.7,0.7,1
3,5.42,0.8,0.93,0.26,7,3.25,0.33,0.7,1.0,0
2,2.67,1.0,0.03,0.31,6,0.6,0.96,0.36,0.08,0
22,4.23,0.8,0.28,0.56,1,1.78,0.12,0.39,0.5,0
21,0.4,0.98,0.07,0.88,23,8.65,0.08,0.87,0.35,1
20,0.24,0.07,0.25,0.79,0,9.54,0.36,0.52,0.01,0
9,0.27,0.71,0.25,0.36,10,6.25,0.39,0.79,0.3,0
11,3.64,0.02,0.99,0.55,13,6.07,0.86,0.4,0.13,1
6,6.98,0.6,0.74,0.09,7,5.1,0.17,0.89,0.79,0
21,0.65,0.68,0.37,0.33,0,0.27,0.24,0.34,0.02,1
2,2.6,0.63,0.68,0.48,6,8.05,0.86,0.97,0.66,1
3,6.92,0.89,0.78,0.16,4,2.51,0.58,0.4,0.06,0
3,5.12,0.92,0.28,0.59,7,2.86,0.76,0.64,0.61,1
9,9.42,0.54,0.19,0.89,10,0.72,0.09,0.8,0.24,0
23,7.69,0.93,0.6,0.71,2,7.82,0.46,0.72,0.98,0
9,0.25,0.0,0.66,0.38,12,8.51,0.86,0.26,0.41,0
4,5.63,0.84,0.5,0.56,7,6.46,0.48,0.24,0.4,0
13,8.54,0.47,0.21,0.53,16,3.25,0.27,0.15,0.11,0
3,1.31,0.54,0.45,0.44,7,8.08,0.43,0.69,0.4,1
18,6.03,0.89,0.16,0.84,19,1.31,0.58,0.65,0.21,1
15,5.33,0.36,0.75,0.45,16,5.77,0.03,0.37,0.65,1
23,4.88,0.66,0.86,0.79,3,4.8,0.48,0.82,0.11,1
14,1.39,0.37,0.95,0.02,15,0.9,0.37,0.28,0.62,0
19,4.61,0.32,0.37,0.99,22,2.2,0.26,0.91,0.93,0
23,7.11,0.65,0.39,0.83,2,7.54,0.41,0.24,0.34,0
22,0.31,0.57,0.34,0.22,1,0.15,0.45,0.47,0.73,1
22,4.77,0.57,0.67,0.88,0,5.0,0.95,0.56,0.99,0
23,8.18,0.02,0.41,0.42,3,6.12,0.03,0.64,0.78,0
8,6.43,0.77,0.96,0.8,10,2.89,0.69,0.05,0.96,0
3,3.58,0.48,0.87,0.47,7,5.28,0.14,0.49,0.42,0
18,3.93,0.94,0.43,0.33,19,8.55,0.69,0.8,0.34,0
12,3.52,0.61,0.53,0.48,13,5.12,0.21,0.48,0.05,0
23,8.26,0.58,0.14,0.95,2,4.83,0.23,0.83,0.43,0
8,1.02,0.0,0.7,0.67,11,6.41,0.91,0.61,0.12,1
9,9.02,0.04,0.07,0.11,13,1.6,0.46,0.6,0.09,0
11,9.77,0.65,0.03,0.19,12,2.34,0.81,0.75,0.06,1
13,6.48,0.25,0.22,0.95,17,2.94,0.19,0.68,0.72,0
23,8.87,0.53,0.3,0.24,2,7.21,0.24,0.63,0.63,1
0,8.75,0.47,0.14,0.79,2,9.95,0.58,0.81,0.4,0
10,2.02,0.42,0.62,0.15,13,8.63,0.65,0.31,0.77,0
4,9.54,0.72,0.76,0.49,8,8.86,0.73,0.88,0.53,1
2,8.56,0.97,0.44,0.51,4,4.83,0.5,0.54,0.92,0
14,7.06,0.86,0.17,0.38,18,6.22,0.79,0.31,0.83,0
15,0.79,0.51,0.14,0.29,17,2.68,0.7,0.01,0.81,0
8,7.88,0.25,0.06,0.93,10,4.25,0.44,0.92,0.29,1
10,0.84,0.21,0.21,0.06,11,0.84,0.88,0.72,0.51,0
7,8.14,0.48,0.69,0.72,8,7.17,0.99,0.69,0.28,1
14,4.18,0.03,0.5,0.23,17,1.89,0.1,0.93,1.0,0
14,2.4,0.6,0.81,0.66,16,0.88,0.89,0.01,0.66,0
13,0.81,0.8,0.55,0.85,15,9.2,0.16,0.73,0.9,1
2,5.27,0.33,0.85,0.59,4,9.27,0.05,0.92,0.31,1
7,5.45,0.04,0.28,0.47,10,0.69,0.56,0.85,0.99,0
1,8.95,0.75,0.92,0.71,2,5.74,0.33,0.97,0.89,0
1,4.85,0.6,0.19,0.89,3,8.63,0.8,0.98,0.49,0
1,2.6,0.5,0.89,0.38,4,3.2,0.35,0.84,0.17,0
1,5.93,0.26,0.75,0.5,5,7.58,0.78,0.76,0.34,0
16,5.01,0.5,0.79,0.3,18,5.6,0.79,0.38,0.37,1
18,6.73,0.86,0.35,0.49,22,5.59,0.4,0.74,0.38,0
8,7.35,0.09,0.3,0.98,11,7.48,0.62,0.92,0.77,1
20,5.32,0.06,0.35,0.04,21,3.32,0.12,0.44,0.51,0
5,5.12,0.88,0.95,0.44,9,2.97,0.25,0.41,0.56,1
0,9.76,0.66,0.08,0.65,4,0.49,0.53,0.9,0.22,1
21,5.98,0.65,0.47,0.41,23,1.09,0.05,0.25,0.87,0
0,4.35,0.08,0.83,0.46,4,7.59,0.11,0.74,0.88,1
